,nomes,nota_1,nota_2,nota_3,nota_4
0,Joao Chianca,"6,085","6,085","10,000","3,320"
1,Jack Robinson,"10,000","6,085","7,800","1,330"
2,Filipe Toledo,"4,745","10,000","1,330","6,085"
3,Ethan Ewing,"1,330","4,745","3,320","10,000"
4,Griffin Colapinto,"1,330","7,800","4,745","4,745"
5,Ryan Callinan,"3,320","1,330","3,320","7,800"
6,Caio Ibelli,"6,085","4,745","3,320","1,330"
7,John John Florence,"4,745","3,320","1,330","6,085"
8,Yago Dora,"3,320","1,330","6,085","3,320"
9,Leonardo Fioravanti,"7,800","3,320","1,330","1,330"
10,Gabriel Medina,"3,320","3,320","3,320","3,320"
11,Connor O'Leary,"1,330",265,"4,745","4,745"
12,Matthew McGillivray,265,"4,745","1,330","4,745"
13,Callum Robson,"3,320","1,330","6,085",265
14,Jordy Smith,"4,745","1,330","1,330","3,320"
15,Rio Waida,"3,320","1,330","4,745",265
16,Italo Ferreira,"1,330","3,320","3,320","1,330"
17,Kanoa Igarashi,"1,330","3,320","1,330","3,320"
18,Seth Moniz,"3,320","3,320","1,330","1,330"
19,Ian Gentil,"3,320","1,330","3,320","1,330"
20,Samuel Pupo,"1,330","1,330","4,745","1,330"
21,Nat Young,"1,330","4,745","1,330","1,330"
22,Jackson Baker,"1,330","1,330","1,330","4,745"
23,Liam O'Brien,"4,745","1,330","1,330","1,330"
24,Miguel Pupo,"3,320","3,320","1,330",265
25,Kelly Slater,"1,330","3,320","1,330","1,330"
26,Barron Mamiya,"1,330","1,330","3,320","1,330"
27,Michael Rodrigues,"1,330","1,330","1,330","3,320"
28,Maxime Huscenot,"1,330",265,265,"3,320"
29,Jake Marshall,"1,330","1,330","1,330",265
30,Kolohe Andino,"1,330","1,330",265,"1,330"
